candidate_id,candidate_name,source_domain,primary_classification,business_goal,trigger,input,decision_or_work,output_or_completion,observed_independence,independence_evidence,artifact_role,artifact_candidate,classification_confidence,classification_rationale,evidence_refs,open_question
"02-01","Review / 评论区分析","02 商品研究","UNCERTAIN","Use reviews or comments to inform product research.","A product-research question requires review evidence; independent initiation is not evidenced.","Available review or comment content.","Analyze review or comment material.","Potential review findings.","UNCERTAIN","Current evidence does not establish whether review analysis is a standalone work unit a step or a source-specific analysis container.","UNKNOWN","Review Analysis","MEDIUM","The Candidate could represent more than one allowed classification; whether review analysis is a standalone work unit a step or a source-specific analysis container is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-01|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4","What independent trigger deliverable owner or reuse distinguishes this from a step inside product research?"
"02-02","Consumer Pain 痛点提取","02 商品研究","ANALYSIS_DIMENSION","Examine consumer pain as an input to broader business judgment.","A broader analysis or decision requires the consumer pain dimension.","Available consumer or review evidence.","Inspect and interpret consumer pain.","Consumer Pain Evidence for broader product-improvement work.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","PRODUCES_BUSINESS_ARTIFACT","Consumer Pain Evidence","HIGH","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-02|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-01","Which broader Business Task consumes this analytical dimension?"
"02-03","Selling Point 卖点提取与验证","02 商品研究","UNCERTAIN","Identify and validate possible selling points.","Potentially a product-research or validation need; independent initiation is not established.","Product competitor and consumer evidence.","Extract possible selling points and test their support.","Potential Validated Selling Point.","UNCERTAIN","Current evidence does not establish whether extraction and validation form one independent work unit or dimensions and steps inside another task.","UNKNOWN","Validated Selling Point","MEDIUM","The Candidate could represent more than one allowed classification; whether extraction and validation form one independent work unit or dimensions and steps inside another task is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-03|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-01","Is there an independently initiated selling-point validation workflow with its own acceptance criteria and reusable output?"
"02-04","产品改良机会分析","02 商品研究","BUSINESS_TASK","Decide what product improvements should be proposed from available evidence.","Product research exposes a material product gap or improvement need.","Consumer competitor and product evidence.","Evaluate evidence and formulate product-improvement opportunities.","A Product Improvement Proposal is ready for review or downstream decision.","PARTIAL","Explicit operator evidence recognizes product-improvement-related work but does not directly establish a standalone trigger owner or completion boundary; the proposal decision and deliverable provide strong inferred independence.","PRODUCES_BUSINESS_ARTIFACT","Product Improvement Proposal","MEDIUM","BUSINESS_TASK is retained from calibration because the Candidate has a distinct proposal decision and deliverable and the work is explicitly recognized. V1.1 records independence as PARTIAL / MEDIUM because standalone identity was not directly observed.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-04|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-01","What acceptance criteria mark an improvement proposal complete across operating contexts?"
"02-05","使用场景分析","02 商品研究","ANALYSIS_DIMENSION","Examine usage scenario as an input to broader business judgment.","A broader analysis or decision requires the usage scenario dimension.","Available consumer product or competitor evidence.","Inspect and interpret usage scenario.","Usage Scenario Evidence for broader differentiation work.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","HIGH","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-05|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-02","Which broader Business Task consumes this analytical dimension? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"02-06","竞品详情页 / Listing 分析","02 商品研究","UNCERTAIN","Use competitor Listing analysis to inform differentiation.","A differentiation question may require competitor Listing evidence; independent initiation is not established.","Competitor Listing content.","Analyze competitor Listing elements and claims.","Potential Competitor Analysis.","UNCERTAIN","Current evidence does not establish whether this is a standalone competitor-analysis task a source-specific step or an analysis dimension.","UNKNOWN","Competitor Analysis","MEDIUM","The Candidate could represent more than one allowed classification; whether this is a standalone competitor-analysis task a source-specific step or an analysis dimension is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-06|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-02","What independent trigger deliverable and downstream reuse would distinguish this from a step inside product differentiation analysis?"
"02-07","产品差异化机会分析","02 商品研究","BUSINESS_TASK","Decide what product differentiation opportunities should be proposed.","Product research exposes a need to establish meaningful differentiation.","Usage competitor selling-point and product evidence.","Evaluate evidence and formulate differentiation opportunities.","A Differentiation Proposal is ready for review or downstream decision.","PARTIAL","Explicit operator evidence recognizes product-differentiation-related work but does not directly establish a standalone trigger owner or completion boundary; the proposal decision and deliverable provide strong inferred independence.","PRODUCES_BUSINESS_ARTIFACT","Differentiation Proposal","MEDIUM","BUSINESS_TASK is retained from calibration because the Candidate has a distinct proposal decision and deliverable and the work is explicitly recognized. V1.1 records independence as PARTIAL / MEDIUM because standalone identity was not directly observed.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=02-07|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#4|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-AMAZON-02","What acceptance criteria mark a differentiation proposal complete across operating contexts?"
"03-01","创建商品 / 上架准备","03 Listing / 商品管理","UNCERTAIN","Prepare a product for creation and listing.","A product is approved for setup; the exact start boundary is not evidenced.","Product information and platform requirements.","Prepare listing inputs and create the product record.","Potentially a created product record and listing-ready state.","UNCERTAIN","Current evidence does not establish whether product creation and listing preparation are one work unit or multiple lifecycle phases.","UNKNOWN","Product Listing Record","LOW","The Candidate could represent more than one allowed classification; whether product creation and listing preparation are one work unit or multiple lifecycle phases is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-01","Are product creation and listing preparation independently triggered or completed work units within the observed workflow?"
"03-02","类目选择","03 Listing / 商品管理","STEP","Choose the category needed for a broader product-listing workflow.","A product listing requires category placement.","Product context and available category options.","Evaluate category fit and select a category.","A selected category is available to the parent listing workflow.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","NONE","","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-02","Which parent Business Task owns this step and consumes its output?"
"03-03","商品属性维护","03 Listing / 商品管理","BUSINESS_TASK","Keep product attributes accurate when product or listing information changes.","A product attribute changes or an attribute defect is identified.","Current product attributes and the new verified information.","Evaluate the required change and maintain the attribute record.","The product attribute record reaches the intended updated state.","PARTIAL","change-bounded maintenance responsibility and recognizable updated record","PRODUCES_AND_CONSUMES","Product Attribute Record","MEDIUM","A recognizable change-bounded maintenance responsibility and recognizable updated record supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-03","What changes independently trigger attribute maintenance rather than a broader Listing update?"
"03-04","标题优化","03 Listing / 商品管理","STEP","Improve the title within a broader Listing optimization workflow.","A broader Listing optimization identifies the title as an intervention point.","Current title and relevant product or search inputs.","Revise and evaluate the title.","An updated title is available to the parent optimization workflow.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","PRODUCES_BUSINESS_ARTIFACT","Updated Product Title","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-04","Which parent Business Task owns this step and consumes its output?"
"03-05","搜索关键词 / SEO 优化","03 Listing / 商品管理","UNCERTAIN","Implement search discoverability through platform keyword or SEO mechanisms.","A parent Listing or traffic task requires search-field adjustment.","Platform search terminology fields and parent optimization intent.","Adjust keyword or SEO-related platform fields.","The relevant platform fields are updated.","UNCERTAIN","The business intent may be cross-platform search discoverability while the Keyword / SEO wording may denote implementation; current evidence does not establish the semantic-core boundary.","UNKNOWN","","LOW","V1.1 prevents automatic platform-detail classification. This Candidate may be a business-process Step or a platform mechanism and current evidence does not resolve the semantic core.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-05","Would search-discoverability optimization still exist with a different platform and is this Candidate a parent-independent work unit a Step or a platform mechanism?"
"03-06","主图 / 商品图策划与优化","03 Listing / 商品管理","UNCERTAIN","Improve the product's primary visual presentation.","A creative or Listing need identifies an image change; the independent boundary is not evidenced.","Product context current images and creative requirements.","Plan create select or optimize main and product images.","Potential image plan or updated product images.","UNCERTAIN","Current evidence does not establish whether planning production and optimization are one work unit and whether the work belongs to Listing or Creative Production.","UNKNOWN","Product Image Plan or Asset","LOW","The Candidate could represent more than one allowed classification; whether planning production and optimization are one work unit and whether the work belongs to Listing or Creative Production is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-06","What are the independently recognizable start completion and ownership boundaries across image planning production and optimization?"
"03-07","详情页 / PDP / A+ 优化","03 Listing / 商品管理","UNCERTAIN","Implement product-detail presentation through platform PDP or A+ mechanisms.","A parent Listing optimization requires detail-page changes.","Product content and platform-specific presentation surfaces.","Configure or update PDP A+ or equivalent detail-page elements.","The platform detail-page state is updated.","UNCERTAIN","Product-detail presentation has a cross-platform business intent while PDP / A+ names platform surfaces; current evidence does not establish which meaning is the Candidate's semantic core.","UNKNOWN","","LOW","V1.1 prevents treating platform-named implementation as semantic identity. The Candidate may represent a broader presentation task a Step or platform execution detail.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-07","Is the semantic core product-detail presentation or operation of PDP / A+ controls and what observable workflow establishes the work-unit boundary?"
"03-08","Variant / SKU 关系管理","03 Listing / 商品管理","BUSINESS_TASK","Represent product variants and SKU relationships in platform listing structures.","A parent product-management workflow requires variant configuration.","Product SKU relationships and platform constraints.","Configure or maintain platform Variant and SKU relationships.","The platform relationship state reflects the intended structure.","PARTIAL","Managing Variant / SKU relationships has a cross-platform product-relationship intent and a recognizable maintained state; no direct AS-IS independence observation is available.","NONE","","MEDIUM","Under V1.1 the semantic core is ongoing management of product relationships rather than a particular platform control. Structural independence is strong but only inferred so it remains PARTIAL / MEDIUM.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-08","What operator SOP or workflow evidence confirms independent ownership and completion and which platform field operations remain execution details?"
"03-09","商品信息更新 / 同步","03 Listing / 商品管理","UNCERTAIN","Keep product information current across relevant destinations.","Product information changes or a synchronization issue occurs.","Current product information destination states and change inputs.","Update information and synchronize it across destinations.","Potentially updated and synchronized product records.","UNCERTAIN","Current evidence does not establish whether information update and synchronization are one work unit and whether synchronization is automated or a platform detail.","UNKNOWN","Product Information Record","LOW","The Candidate could represent more than one allowed classification; whether information update and synchronization are one work unit and whether synchronization is automated or a platform detail is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-09","Which part is the business work unit and which part is execution mechanism or platform automation?"
"03-10","Listing 质量 / 异常诊断","03 Listing / 商品管理","BUSINESS_TASK","Diagnose Listing quality or anomalies and formulate the needed optimization direction.","A Listing quality concern or anomaly prompts investigation.","Listing state and available performance or quality evidence.","Diagnose the issue and determine an optimization approach.","A recognizable Listing diagnosis and optimization proposal is produced.","PARTIAL","The operator explicitly described producing an optimization plan but did not directly establish the Candidate's standalone trigger owner or exact completion boundary; independent diagnosis work remains strongly inferred.","PRODUCES_BUSINESS_ARTIFACT","Listing Optimization Proposal","MEDIUM","BUSINESS_TASK is retained from calibration and direct evidence of the work. V1.1 records independence as PARTIAL / MEDIUM because exact standalone identity was not directly observed.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=03-10|01_ROUND_2A_CLASSIFICATION_CALIBRATION_RECORD.md#7|../round_1/02_ROUND_1_OPERATOR_EVIDENCE.md#R1-TEMU-01","What exact name start boundary and separation from broader performance diagnosis should be resolved later?"
"04-01","初始定价","04 定价与促销","BUSINESS_TASK","Set an initial price that satisfies the current business constraints.","A product requires its first sellable price.","Available cost constraint market and product inputs.","Evaluate pricing inputs and decide the initial price.","An initial price decision is produced.","PARTIAL","recognizable pricing decision and bounded price output","UNKNOWN","","MEDIUM","A recognizable recognizable pricing decision and bounded price output supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-01","Which approval and constraint checks define completion of the initial pricing decision? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"04-02","竞争性调价","04 定价与促销","BUSINESS_TASK","Decide whether and how to change price in response to competitive conditions.","A competitive pricing signal or review cycle prompts repricing.","Current price competitive price signals and constraints.","Evaluate competitive position and decide a price change.","A repricing decision or updated price is produced.","PARTIAL","event-bounded pricing decision and observable updated price","NONE","","MEDIUM","A recognizable event-bounded pricing decision and observable updated price supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-02","What change threshold independently triggers competitive repricing?"
"04-03","利润底线 / 成本约束校验","04 定价与促销","STEP","Ensure a broader pricing or promotion decision respects profit and cost constraints.","A parent pricing or promotion decision requires constraint validation.","Cost profit-floor and proposed price or promotion inputs.","Check the proposal against profit and cost constraints.","A constraint check result is available to the parent decision.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","NONE","","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-03","Which parent Business Task owns this step and consumes its output?"
"04-04","Coupon / Discount 设置","04 定价与促销","STEP","Implement a promotion through platform coupon or discount controls.","A parent promotion decision requires platform setup.","Approved promotion terms and platform controls.","Configure coupon or discount settings.","The platform promotion setting reaches the approved state.","NO","Coupon / discount setting depends on an approved pricing or promotion process; the business intent survives platform change but the setting action remains process-dependent.","NONE","","MEDIUM","V1.1 separates the cross-platform promotion intent from platform implementation. The setting action is an intermediate Step rather than a platform-semantic identity or independent Task.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-04","Which pricing or promotion Business Task owns this setting Step and which controls vary by platform?"
"04-05","Deal / 平台活动报名","04 定价与促销","UNCERTAIN","Execute participation in a platform Deal or campaign mechanism.","An approved promotion decision targets a platform activity.","Product campaign requirements and approved participation decision.","Complete the platform activity enrollment operation.","The enrollment reaches a submitted or registered state.","UNCERTAIN","The promotional-enrollment intent remains meaningful across platforms, but current evidence does not establish whether enrollment is independently owned or process-dependent.","NONE","","LOW","The V1.1 Semantic Core Rule prevents treating Deal or promotional-event enrollment as platform-specific semantic identity solely because implementation differs. Current evidence does not resolve BUSINESS_TASK versus STEP.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-05","Is promotional-event enrollment an independent Business Task with its own trigger, owner, and completion, or a Step inside broader promotion planning and execution?"
"04-06","促销商品选择","04 定价与促销","STEP","Select products for a broader promotion plan.","A promotion-planning workflow requires an eligible product set.","Product performance inventory margin and campaign constraints.","Evaluate candidates and select promotion products.","A promotion-product shortlist is available to the parent plan.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","PRODUCES_BUSINESS_ARTIFACT","Promotion Product Shortlist","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-06","Which parent Business Task owns this step and consumes its output?"
"04-07","促销效果复盘","04 定价与促销","ANALYSIS_DIMENSION","Examine promotion effectiveness as an input to broader business judgment.","A broader analysis or decision requires the promotion effectiveness dimension.","Promotion results and relevant comparison inputs.","Inspect and interpret promotion effectiveness.","A promotion-effectiveness finding for broader performance review.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","MEDIUM","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=04-07","Which broader Business Task consumes this analytical dimension? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"05-01","库存状态监控","05 库存与供应链","BUSINESS_TASK","Maintain visibility into material inventory-state changes.","A recurring monitoring interval or inventory-state update occurs.","Current and prior inventory state.","Inspect inventory changes and identify states requiring attention.","An updated inventory-status view or alert is produced.","PARTIAL","recurring monitoring responsibility with recognizable status output","UNKNOWN","","MEDIUM","A recognizable recurring monitoring responsibility with recognizable status output supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=05-01","What cadence or threshold defines independent completion of inventory monitoring? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"05-02","低库存 / 断货风险预警","05 库存与供应链","UNCERTAIN","Surface low-stock or stockout risk for action.","A stock-risk threshold may be crossed; the actual triggering mechanism is not evidenced.","Inventory demand and replenishment signals.","Evaluate risk and issue a warning.","Potential Low-stock or Stockout Alert.","UNCERTAIN","Current evidence does not establish whether this Candidate is independent risk work an alert artifact or an automated mechanism inside inventory monitoring.","UNKNOWN","Low-stock or Stockout Alert","LOW","The Candidate could represent more than one allowed classification; whether this Candidate is independent risk work an alert artifact or an automated mechanism inside inventory monitoring is not observably established.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=05-02","Who or what performs the risk evaluation and is the alert an output of another monitoring task?"
"05-03","补货需求判断","05 库存与供应链","STEP","Determine whether replenishment is needed within a broader replenishment workflow.","A replenishment planning cycle reviews inventory needs.","Inventory demand lead-time and constraint inputs.","Evaluate whether replenishment is required.","A replenishment-need decision is available to planning.","NO","The Candidate is business-process dependent and its output primarily advances a broader workflow.","UNKNOWN","","MEDIUM","The wording describes an intermediate action whose trigger and completion depend on a broader business process.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=05-03","Which parent Business Task owns this step and consumes its output? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
"05-04","补货数量 / 节奏规划","05 库存与供应链","BUSINESS_TASK","Produce a replenishment quantity and cadence plan.","A replenishment need has been identified.","Inventory demand lead-time and supply constraints.","Decide replenishment quantity and timing.","A replenishment plan is ready for execution or approval.","PARTIAL","recognizable plan deliverable with a bounded planning decision","PRODUCES_BUSINESS_ARTIFACT","Replenishment Plan","MEDIUM","A recognizable recognizable plan deliverable with a bounded planning decision supports independent work-unit identity; evidence remains bounded and no structural disposition is implied.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=05-04","What approval or handoff marks the replenishment plan complete?"
"05-05","滞销 / 积压库存识别","05 库存与供应链","ANALYSIS_DIMENSION","Examine slow-moving and excess-inventory status as an input to broader business judgment.","A broader analysis or decision requires the slow-moving and excess-inventory status dimension.","Inventory age velocity and stock-level signals.","Inspect and interpret slow-moving and excess-inventory status.","A slow-moving or excess-inventory finding for broader inventory decisions.","NO","The Candidate wording identifies what is examined rather than an independently evidenced work unit.","UNKNOWN","","MEDIUM","Under the calibrated guidance this is primarily an analysis dimension; independent trigger owner and completion evidence are absent.","SOURCE_IDENTITY:../round_1/01_ROUND_1_REVIEWED_TASK_INVENTORY.csv#candidate_id=05-05","Does identification remain an analytical dimension or have an independently triggered exception workflow in observed operations? What evidence shows that the output persists is handed off or is independently reused as a stable Business Artifact?"
