candidate_id,domain_id,domain_name,candidate_task_name,platform,initial_applicability,as_is_status,review_status,review_confidence,execution_owner,execution_mechanism,structure_flag,operator_note,analyst_note,round2_question,evidence_ref
"02-03","02","商品研究","Selling Point 卖点提取与验证","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product improvement-related work.","Strong Merge Candidate within the Product Improvement group; no merge was executed in Round 1.","Should 02-02 02-03 and 02-04 normalize into one task or a task with subtasks?","R1-AMAZON-01"
"02-03","02","商品研究","Selling Point 卖点提取与验证","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-03","02","商品研究","Selling Point 卖点提取与验证","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-04","02","商品研究","产品改良机会分析","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product improvement-related work.","Strong Merge Candidate within the Product Improvement group; no merge was executed in Round 1.","Should 02-02 02-03 and 02-04 normalize into one task or a task with subtasks?","R1-AMAZON-01"
"02-04","02","商品研究","产品改良机会分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-04","02","商品研究","产品改良机会分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-05","02","商品研究","使用场景分析","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product differentiation-related work.","Strong Merge Candidate within the Product Differentiation group; no merge was executed in Round 1.","Should 02-05 02-06 and 02-07 normalize into one task or a task with subtasks?","R1-AMAZON-02"
"02-05","02","商品研究","使用场景分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-05","02","商品研究","使用场景分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-06","02","商品研究","竞品详情页 / Listing 分析","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product differentiation-related work.","Strong Merge Candidate within the Product Differentiation group; no merge was executed in Round 1.","Should 02-05 02-06 and 02-07 normalize into one task or a task with subtasks?","R1-AMAZON-02"
"02-06","02","商品研究","竞品详情页 / Listing 分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-06","02","商品研究","竞品详情页 / Listing 分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-07","02","商品研究","产品差异化机会分析","Amazon","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","MERGE_CANDIDATE","Operator grouped this Candidate with product differentiation-related work.","Strong Merge Candidate within the Product Differentiation group; no merge was executed in Round 1.","Should 02-05 02-06 and 02-07 normalize into one task or a task with subtasks?","R1-AMAZON-02"
"02-07","02","商品研究","产品差异化机会分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"02-07","02","商品研究","产品差异化机会分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-01","03","Listing / 商品管理","创建商品 / 上架准备","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-01","03","Listing / 商品管理","创建商品 / 上架准备","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-01","03","Listing / 商品管理","创建商品 / 上架准备","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-02","03","Listing / 商品管理","类目选择","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-02","03","Listing / 商品管理","类目选择","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-02","03","Listing / 商品管理","类目选择","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-03","03","Listing / 商品管理","商品属性维护","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-03","03","Listing / 商品管理","商品属性维护","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-03","03","Listing / 商品管理","商品属性维护","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-04","03","Listing / 商品管理","标题优化","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-04","03","Listing / 商品管理","标题优化","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-04","03","Listing / 商品管理","标题优化","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-05","03","Listing / 商品管理","搜索关键词 / SEO 优化","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-05","03","Listing / 商品管理","搜索关键词 / SEO 优化","Temu","PARTIAL","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-05","03","Listing / 商品管理","搜索关键词 / SEO 优化","TikTok Shop","PARTIAL","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-06","03","Listing / 商品管理","主图 / 商品图策划与优化","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-06","03","Listing / 商品管理","主图 / 商品图策划与优化","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-06","03","Listing / 商品管理","主图 / 商品图策划与优化","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-07","03","Listing / 商品管理","详情页 / PDP / A+ 优化","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-07","03","Listing / 商品管理","详情页 / PDP / A+ 优化","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-07","03","Listing / 商品管理","详情页 / PDP / A+ 优化","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-08","03","Listing / 商品管理","Variant / SKU 关系管理","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-08","03","Listing / 商品管理","Variant / SKU 关系管理","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-08","03","Listing / 商品管理","Variant / SKU 关系管理","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-09","03","Listing / 商品管理","商品信息更新 / 同步","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-09","03","Listing / 商品管理","商品信息更新 / 同步","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-09","03","Listing / 商品管理","商品信息更新 / 同步","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-10","03","Listing / 商品管理","Listing 质量 / 异常诊断","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"03-10","03","Listing / 商品管理","Listing 质量 / 异常诊断","Temu","YES","PERFORMED","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","RENAME_CANDIDATE|MOVE_CANDIDATE","Operator described the actual work as 搞一个优化方案.","This may be optimization-plan work rather than only narrow Listing diagnosis; the Listing and Performance Analysis boundary remains open.","Should 03-10 be renamed or moved after separating diagnosis from optimization-plan formulation?","R1-TEMU-01"
"03-10","03","Listing / 商品管理","Listing 质量 / 异常诊断","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-01","04","定价与促销","初始定价","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-01","04","定价与促销","初始定价","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-01","04","定价与促销","初始定价","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-02","04","定价与促销","竞争性调价","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-02","04","定价与促销","竞争性调价","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-02","04","定价与促销","竞争性调价","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-03","04","定价与促销","利润底线 / 成本约束校验","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-03","04","定价与促销","利润底线 / 成本约束校验","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-03","04","定价与促销","利润底线 / 成本约束校验","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-04","04","定价与促销","Coupon / Discount 设置","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-04","04","定价与促销","Coupon / Discount 设置","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-04","04","定价与促销","Coupon / Discount 设置","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-05","04","定价与促销","Deal / 平台活动报名","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-05","04","定价与促销","Deal / 平台活动报名","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-05","04","定价与促销","Deal / 平台活动报名","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-06","04","定价与促销","促销商品选择","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-06","04","定价与促销","促销商品选择","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-06","04","定价与促销","促销商品选择","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-07","04","定价与促销","促销效果复盘","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-07","04","定价与促销","促销效果复盘","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"04-07","04","定价与促销","促销效果复盘","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-01","05","库存与供应链","库存状态监控","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-01","05","库存与供应链","库存状态监控","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-01","05","库存与供应链","库存状态监控","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-02","05","库存与供应链","低库存 / 断货风险预警","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-02","05","库存与供应链","低库存 / 断货风险预警","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-02","05","库存与供应链","低库存 / 断货风险预警","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-03","05","库存与供应链","补货需求判断","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-03","05","库存与供应链","补货需求判断","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-03","05","库存与供应链","补货需求判断","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-04","05","库存与供应链","补货数量 / 节奏规划","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-04","05","库存与供应链","补货数量 / 节奏规划","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-04","05","库存与供应链","补货数量 / 节奏规划","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-05","05","库存与供应链","滞销 / 积压库存识别","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-05","05","库存与供应链","滞销 / 积压库存识别","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-05","05","库存与供应链","滞销 / 积压库存识别","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-06","05","库存与供应链","仓储 / 履约方式选择","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-06","05","库存与供应链","仓储 / 履约方式选择","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-06","05","库存与供应链","仓储 / 履约方式选择","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-07","05","库存与供应链","入仓 / 发货计划","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-07","05","库存与供应链","入仓 / 发货计划","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-07","05","库存与供应链","入仓 / 发货计划","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-08","05","库存与供应链","库存调拨 / 多渠道库存同步","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-08","05","库存与供应链","库存调拨 / 多渠道库存同步","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-08","05","库存与供应链","库存调拨 / 多渠道库存同步","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-09","05","库存与供应链","物流 / 履约异常监控","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-09","05","库存与供应链","物流 / 履约异常监控","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"05-09","05","库存与供应链","物流 / 履约异常监控","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-01","06","流量与广告","流量来源分析","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-01","06","流量与广告","流量来源分析","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-01","06","流量与广告","流量来源分析","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-02","06","流量与广告","广告商品 / 投放机会选择","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-02","06","流量与广告","广告商品 / 投放机会选择","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-02","06","流量与广告","广告商品 / 投放机会选择","TikTok Shop","YES","UNCERTAIN","EXPLICITLY_REVIEWED","HIGH","UNKNOWN","UNKNOWN","REMOVE_CANDIDATE","Operator deleted this Candidate during review.","The deletion action is explicit but its structural reason is unknown; no removal was executed in Round 1.","Does the deletion mean non-applicability duplication automation outsourcing role separation or a genuine removal candidate?","R1-TIKTOK-01"
"06-03","06","流量与广告","广告创建 / Campaign 结构规划","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-03","06","流量与广告","广告创建 / Campaign 结构规划","Temu","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-03","06","流量与广告","广告创建 / Campaign 结构规划","TikTok Shop","YES","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-04","06","流量与广告","Keyword / Search Term 优化","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-04","06","流量与广告","Keyword / Search Term 优化","Temu","PARTIAL","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-04","06","流量与广告","Keyword / Search Term 优化","TikTok Shop","PARTIAL","UNCERTAIN","NOT_REVIEWED","LOW","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
"06-05","06","流量与广告","广告预算分配","Amazon","YES","UNCERTAIN","PARTIALLY_REVIEWED","MEDIUM","UNKNOWN","UNKNOWN","UNKNOWN","","","",""
